0,1,2,3,4,5,6,7,8
-87.47851700000001,33.172903000000005,Pilot\, 125 Truck Parking Spots; #0076,205-553-9710,I-20/59 Exit 76; 4416 Skyland Blvd,Tuscaloosa,AL,35405,USA
-94.235683,35.5404,Love's\,  RV Dump/Propane; 55 Truck Parking Spots; #0635,479-632-0587,I-49 Exit 24; 8060 Hwy 282,Alma,AR,72921,USA
-94.229372,35.538914,AMBEST\,  Workman's Travel Center 75 Truck Parking Spots,479-632-1356,I-49 Exit 24; 8265 Hwy 282,Alma,AR,72921,USA
-92.725903,34.481392,AMBEST\,  JJs Truck Stop 200 Truck Parking Spots,501-778-2295,I-30 Exit 106; 6106 I-30 Frontage N,Benton,AR,72105,USA
-92.53295899999999,34.608348,Pilot\, 70 Truck Parking Spots; #0118,501-794-5900,I-30 Exit 121; 7801 Alcoa Rd,Benton,AR,72015,USA
-89.918152,35.884827,Love's\,  RV Dump/Propane; 94 Truck Parking Spots; #0671,870-776-1126,I-55 Exit 63; 3910 South Division Street,Blytheville,AR,72315,USA
-93.070262,34.187144,Pilot\, 80 Truck Parking Spots; #0492,870-245-3119,I-30 Exit 78; 170 Valley St,Caddo Valley,AR,71923,USA
-90.4881,35.1364,TA\,  BP 170 Truck Parking Spots; #0033,870-657-2105,I-40 Exit 260; 408 Highway 149 North,Earle,AR,72331,USA
-91.567801,34.815645,Love's\,  RV Dump/Propane; 111 Truck Parking Spots; #0759,870 255-1395,I-40 Exit 193; 3404 Hwy 63 N,Hazen,AR,72064,USA
-90.63516700000001,35.803403,Love's\,  RV Dump/Propane; 77 Truck Parking Spots; #0607,870-933-7010,Hwy 63 Exit 40; 5101 East Parker Rd,Jonesboro,AR,72404,USA
-91.29249200000001,33.330298,Love's\,  RV Dump; 52 Truck Parking Spots; #0689,870-265-9993,294 Hwy 82,Lake Village,AR,71653,USA
-92.412532,34.657287,Love's\,  Propane; 76 Truck Parking Spots; #0457,501-407-0227,I-30 Exit 128; 11700 I-30 Frontage Rd,Little Rock,AR,72210,USA
-92.12736600000001,34.781379,Pilot\, 100 Truck Parking Spots; #0332,501-945-2226,I-40 Exit 161; 3300 Hwy 391 North,Little Rock,AR,72117,USA
-92.743251,35.172923,Love's\,  17 Truck Parking Spots; #0267,501-354-6701,I-40 Exit 107; 1600 N. Hwy 95,Morrilton,AR,72110,USA
-92.382547,34.883924,AMBEST\,  Morgan Shell Truck Stop 40 Truck Parking Spots,501-851-6815,I-40 Exit 142; 20515 Hwy 365 N,North Little Rock,AR,72113,USA
-92.12626999999999,34.786442,Love's\,  64 Truck Parking Spots; #0236,501-945-5400,I-40 Exit 161; 11801 E I-40 Fwy,North Little Rock,AR,72117,USA
-92.1298,34.781,Petro\,  Shell 250 Truck Parking Spots; #0326,501-945-3206,I-40 Exit 161; 3205 Valentine Road,North Little Rock,AR,72117,USA
-93.86406,35.523804999999996,AMBEST\,  Workman's Travel Center 80 Truck Parking Spots,479-667-0711,I-40 Exit 35; 3202 Pence Ln,Ozark,AR,72949,USA
-93.82230899999999,35.511466,Love's\,  19 Truck Parking Spots; #0271,479-667-5891,I-40 Exit 37; 2229 N 3rd Street,Ozark,AR,72949,USA
-90.905235,34.986489,Love's\,  RV Dump; 90 Truck Parking Spots; #0275,870-581-5004,I-40 Exit 233; 1010 N. Main,Palestine,AR,72372,USA
-91.920146,34.193740000000005,Love's\,  74 Truck Parking Spots; #0661,870-536-8274,4800 Hwy 65 S,Pine Bluff,AR,71601,USA
-93.427,33.8112,TA\,  Shell RV Dump; 292 Truck Parking Spots; #0224,870-887-8900,I-30 Exit 44; 1806 Hwy 371 West,Prescott,AR,71857,USA
-93.394759,33.828782000000004,Love's\,  RV Dump; 112 Truck Parking Spots; #0277,870-887-1744,I-30 Exit 46; 116 Ron Herrod Rd,Prescott,AR,71857,USA
-93.09237900000001,35.280414,Pilot\, RV Lanes; 130 Truck Parking Spots; #0430,479-967-7414,I-40 Exit 84; 215 SR331 North,Russellville,AR,72802,USA
-93.089304,35.283505,Flying J\, RV Lanes/RV Dump/Propane; 165 Truck Parking Spots/RV Parking; #0605,479-890-6161,I-40 Exit 84; 42 Bradley Cove Rd,Russellville,AR,72801,USA
-91.7156439,35.21868916,Love's\,  RV Dump/Propane; 82 Truck Parking Spots; #0557,501-278-5090,HWY 67 Exit 44; 2505 Queensway St,Searcy,AR,72143,USA
-94.19317,36.176497,Pilot\, RV Lanes; 75 Truck Parking Spots; #0145,479-872-6100,US 412 & 71 Bypass; 5660 West Sunset Ave,Springdale,AR,72762,USA
-93.948528,33.513521999999995,Flying J\, RV Lanes/RV Dump/Propane; 157 Truck Parking Spots/RV Parking; #0606,870-774-3595,I-30 Exit 7; 8300 Hwy 108,Texarkana,AR,71854,USA
-90.13600000000001,35.1544,Petro\,  Shell 280 Truck Parking Spots; #0311,870-702-5540,I-40 Exit 280; I-55 Exit 4; 3900 Petro Rd,West Memphis,AR,72301,USA
-90.143513,35.153655,Flying J\, RV Lanes/RV Dump/Propane; 225 Truck Parking Spots/RV Parking; #0607,870-735-8200,I-40 Exit 280/I-55 Exit 4; 3400 Service Loop Rd,West Memphis,AR,72301,USA
-90.138155,35.157318,Pilot\, RV Lanes; 150 Truck Parking Spots; #0429,870-732-1202,I-40 Exit 280; 1100 Martin Luther,West Memphis,AR,72301,USA
-90.138293,35.153921999999994,Love's\,  111 Truck Parking Spots; #0450,870-732-1272,I-40 Exit 280; 800 Martin Luther King Dr,West Memphis,AR,72301,USA
-112.272825,33.455494,Pilot\, RV Dump; 145 Truck Parking Spots; #0459,623-936-0900,I-10 Exit 133; 900 North 99th Ave,Avondale,AZ,85323,USA
-111.822552,35.238487,Pilot\, RV Lanes; 90 Truck Parking Spots/RV Parking; #0180,928-773-0180,I-40 Exit 185; 12500 West I-40,Bellemont,AZ,86015,USA
-110.34575900000002,31.962359000000003,Love's\,  RV Dump/Propane; 85 Truck Parking Spots; #0460,520-586-8702,I-10 Exit 302; 643 S. Highway 90,Benson,AZ,85602,USA
-112.591725,33.431284000000005,Love's\,  RV Dump; 40 Truck Parking Spots; #0280,623-386-6926,I-10 Exit 114; 1610 S. Miller Road,Buckeye,AZ,85326,USA
-111.67209299999999,32.80643,Love's\,  27 Truck Parking Spots; #0265,520-423-2015,I-10 Exit 200; 5000 N. Sunland Gin Rd,Casa Grande,AZ,85222,USA
-111.6703,32.8122,Petro\,  Shell 175 Truck Parking Spots; #0306,520-836-3983,I-10 Exit 200; 5235 North Sunland Gin Road,Casa Grande,AZ,85231,USA
-111.962298,33.279875,Love's\,  95 Truck Parking Spots; #0328,520-796-1185,I-10 Exit 162; 7001 W. Sundust Rd,Chandler,AZ,85226,USA
-112.118422,34.326831,Pilot\, Propane; 4 Truck Parking Spots; #1175,928-632-4521,I-17 Exit 262; 14905 Cordes lake Rd,Cordes Lake,AZ,86333,USA
-114.523475,33.602133,Flying J\, RV Lanes/Propane; 300 Truck Parking Spots/RV Parking; #0608,928-923-9600,I-10 Exit 1; North Frontage Rd,Ehrenberg,AZ,85334,USA
-111.6178,32.7737,TA\,  Sinclair RV Dump; 234 Truck Parking Spots; #0007,520-466-7363,I-10 Exit 203; 2949 North Toltec Road,Eloy,AZ,85131,USA
-111.549383,32.738146,Pilot\, RV Lanes/RV Dump/Propane; 145 Truck Parking Spots; #0458,520-466-7550,I-10 Exit 208; 619 South Sunshine Blvd,Eloy,AZ,85231,USA
-111.54976299999998,32.731761,Flying J\, RV Lanes/RV Dump; 350 Truck Parking Spots/RV Parking; #0609,520-466-9204,I-10 Exit 208A; 16189 South Sunshine Blvd,Eloy,AZ,85231,USA
-111.61678,35.19166,AMBEST\,  Little America TC Flagstaff 150 Truck Parking Spots,928-779-7942,I-40 Exit 198; 2515 E Butler Ave.,Flagstaff,AZ,86003,USA
-112.733253,32.944320000000005,Love's\,  RV Dump; 41 Truck Parking Spots; #0296,928-683-2210,I-8 Exit 115; 820 W. Pima,Gila Bend,AZ,85337,USA
-110.2108,34.9054,TA\,  Shell 75 Truck Parking Spots; #0246,928-524-3006,I-40 Exit 283; 3747 Express Dr.,Holbrook,AZ,86025,USA
-110.311242,34.954751,Love's\,  RV Dump/Propane; 58 Truck Parking Spots; #0278,928-288-3726,I-40 Exit 277; 4703 Main St,Joseph City,AZ,86032,USA
-114.0691,35.1913,TA\,  Sinclair 115 Truck Parking Spots; #0094,928-753-7600,I-40 Exit 48; 946 West Beale Street,Kingman,AZ,86401,USA
-113.7887,35.1778,Petro\,  Shell 205 Truck Parking Spots; #0315,928-681-5246,I-40 Exit 66; 970 South Blake Ranch Road,Kingman,AZ,86401,USA
-114.006945,35.220003000000005,Flying J\, RV Lanes/RV Dump/Propane; 95 Truck Parking Spots/RV Parking; #0610,928-757-7300,I-40 Exit 53; 3300 E Andy Devine Ave,Kingman,AZ,86401,USA
-113.90403,35.19925,Love's\,  RV Dump; 35 Truck Parking Spots; #0272,928-681-4405,I-40 Exit 59; 6035 E. Minerva Lane,Kingman,AZ,86401,USA
