app_name,app_version,label_title,review,store_rating
rv-life-rv-gps-campgrounds,1.0.4,No thanks!,First ad pop up resembled porn. No thanks!,1
rv-life-rv-gps-campgrounds,1.0.4,Useless,"Oh boy, did you screw it up! You took RV Park Reviews, to me an indispensable review system to check out parks before reserving. It’s gone. I tried to lookup Pilot Mountain State Park, and it doesn’t even show up. Say goodbye!",1
rv-life-rv-gps-campgrounds,1.0.4,Useless After Update,"This took over RV Park Reviews which had its own issues, but was at least OK. They were bad at fixing issues. 
RVLife is much worse. Search function is horrible and mostly does not work at all. Don’t know where some reviews of parks went from the old site. Rating system is a farce. So many parks have high ratings here that are totally undeserving. Nothing like going from bad to worse. After this review I’m just deleting the app, because it’s worthless and I have others I can use.",1
rv-life-rv-gps-campgrounds,1.0.3,Poor App,Used to be great. No so much anymore.,1
rv-life-rv-gps-campgrounds,1.0.3,Incomplete; Not Impressed,"This app took over the RV Park Reviews app. 

I trusted RV Park Reviews and used them often, including contributing my reviews.  But the reviews from that app did not come over to the new app. Therefore, ratings are skewed and information is incomplete. 

If you are going to take something over, then please bring it ALL. Alternatively, provide a way to access that historical data.",1
rv-life-rv-gps-campgrounds,1.0.3,Deleted,Won’t let me create a userid. Maybe you can fix that sometime.,1
rv-life-rv-gps-campgrounds,1.0.3,Would Not Rotate On Ipad,"Uninstalled and deleted. Sorry, will try it again once you have fixed this issue.",1
rv-life-rv-gps-campgrounds,1.0.3,Liked the original web site,Title says it all,1
rv-life-rv-gps-campgrounds,1.0.3,Rotation issue and IPad,Major change to app.  It’s not user friendly due not being able to rotate on the IPad.  The case that my iPad sits in does not rotate. Needs to get fixed.,5
rv-life-rv-gps-campgrounds,1.0.3,Worthless,The maps are nonexistent. The app is useless. It is too bad you are deprived the option of staying on the predecessor app that worked flawlessly.,1
rv-life-rv-gps-campgrounds,1.0.3,Does not display in Landscape mode,"The original RV parks review app had this same problem, took years for them to fix it, looks like here we ago again..",3
rv-life-rv-gps-campgrounds,1.0.1,App Rotation with IPad,"I used RV Parky all the time and the app rotated on my iPad to the horizontal length.  This app is not rotating when I set my iPad on this side.  I used RV Parky with my keyboard all the time looking for placed to stay.  I won’t be using this app unless it fixed to rotate on the iPad.  No, it’s not my settings on my iPad.  All my other apps rotate.  Thanks.",2
rv-life-rv-gps-campgrounds,1.0.1,RV Park Reviews now RV Life,"Nice new features. 
Old app and online .com show reviewers site number. 
Please continue this in RV Life. Knowing site numbers definitely helps choosing sites. 
Thank you",4
copilot-gps-navigation,10.11.1.80,IOS 13.2 lost voice navigation,"So far copilot was good, but on new ios 13.2 app lost voice navigation :(",3
copilot-gps-navigation,10.11.1.80,Garbage,"Not truck driver friendly, this app will certainly get a professional truck driver in Big trouble. Instead of taking driver to a Business with dock you will end up in residential cul de sacs .",1
copilot-gps-navigation,10.11.1.80,So Disappointed,We had high hopes for this as we had difficulties with low bridges and RV unfriendly routes on our last trip. But 1st time iut with this app it took us straight to a closed road and then wanted to route us down THREE roads that were designated “No Trucks” in our 31.5’ motorhome. What’s up with THAT?!!,2
