,uid,latitude,longitude,name,city,st,zip,cat,elev,comments,height
3765,131243,42.91617,-87.92314,Low Clearance,Oak Creek,WI,53154,LC14,,14 - 4 height clearance,14.4
3766,131255,43.16878,-88.4398,Low Clearance,Oconomowoc,WI,53066,LC11,,11 - 6 height clearance (136),11.6
3767,131256,43.17697,-88.45891999999998,Low Clearance,Oconomowoc,WI,53066,LC12,,12 - 8 height clearance (136),12.8
3768,131264,42.89984000000001,-89.38942,Low Clearance,Oregon,WI,53575,LC10,,10 - 0 height clearance (136),10.0
3769,131281,43.78476,-89.57824000000002,Low Clearance,Oxford,WI,53952,LC13,,13 - 1 height clearance (136),13.1
3770,131314,42.69693,-87.79677,Low Clearance,Racine,WI,53403,LC14,,14 - 0 height clearance,14.0
3771,131315,42.72262,-87.79619,Low Clearance,Racine,WI,53403,LC14,,14 - 6 height clearance,14.6
3772,131316,42.72659,-87.79704,Low Clearance,Racine,WI,53403,LC13,,13 - 4 height clearance (136),13.4
3773,131324,45.63787,-89.41887,Low Clearance,Rhinelander,WI,54501,LC12,,12 - 8 height clearance (136),12.8
3774,131355,43.75307,-87.72112,Low Clearance,Sheboygan,WI,53081,LC10,,10 - 8 height clearance (136),10.8
3775,131366,42.90788,-87.86281,Low Clearance,South Milwaukee,WI,53172,LC12,,12 - 0 height clearance (136),12.0
3776,131381,44.51169,-89.46706999999998,Low Clearance,Stevens Point,WI,54482,LC10,,10 - 0 height clearance (136),10.0
3777,131382,44.51309000000001,-89.57309000000002,Low Clearance,Stevens Point,WI,54482,LC13,,13 - 8 height clearance,13.8
3778,131385,42.975838,-89.234049,Low Clearance,Stoughton,WI,53589,LC12,,12 - 1 height clearance (136),12.1
3779,131403,46.65689,-92.20031,Low Clearance,Superior,WI,54880,LC11,,11 - 0 height clearance (136),11.0
3780,131424,42.68962,-88.03220999999998,Low Clearance,Union Grove,WI,53182,LC11,,11 - 8 height clearance (136),11.8
3781,131446,43.05533,-88.02769,Low Clearance,Wauwatosa,WI,53226,LC12,,12 - 0 height clearance (136),12.0
3782,131484,38.180985,-81.709815,Low Clearance,Ashford,WV,25009,LC10,,10 - 3 height clearance (136),10.3
3783,131486,38.406153,-82.314488,Low Clearance,Barboursville,WV,25504,LC11,,11 - 8 height clearance (136),11.8
3784,131487,38.406542,-82.294939,Low Clearance,Barboursville,WV,25504,LC11,,11 - 8 height clearance (136),11.8
3785,131488,38.41061,-82.26391,Low Clearance,Barboursville,WV,25504,LC7,,7 - 4 height clearance (136),7.4
3786,131489,37.756673,-81.156288,Low Clearance,Beaver,WV,25813,LC14,,14 - 8 height clearance,14.8
3787,131498,37.342671,-81.73816500000002,Low Clearance,Big Creek,WV,24813,LC8,,8 - 6 height clearance (136),8.6
3788,131512,38.19617,-81.48001,Low Clearance,Cabin Creek,WV,25035,LC13,,13 - 6 height clearance,13.6
3789,131518,38.21202,-81.52589,Low Clearance,Charleston,WV,25312,LC13,,13 - 8 height clearance,13.8
3790,131519,38.300676,-81.556449,Low Clearance,Charleston,WV,25306,LC13,,13 - 6 height clearance,13.6
3791,131520,38.366246,-81.652274,Low Clearance,Charleston,WV,25302,LC15,,15 - 6 height clearance,15.6
3792,131521,38.36822,-81.65926999999998,Low Clearance,Charleston,WV,25312,LC14,,14 - 0 height clearance,14.0
3793,131530,37.453747,-81.722087,Low Clearance,Davy,WV,24828,LC13,,13 - 9 height clearance,13.9
3794,131563,38.41859,-82.3544,Low Clearance,Huntington,WV,25704,LC8,,8 - 8 height clearance (136),8.8
3795,131564,38.41927,-82.42145,Low Clearance,Huntington,WV,25704,LC11,,11 - 4 height clearance (136),11.4
3796,131565,38.42792,-82.3181,Low Clearance,Huntington,WV,25704,LC13,,13 - 6 height clearance,13.6
3797,131586,38.373006,-82.590552,Low Clearance,Kenova,WV,25530,LC13,,"13 - 1 height clearance marking but actually higher, around 13-7 according to traveler (136)",13.1
3798,131587,37.8947,-82.4331,Low Clearance,Kermit,WV,25674,LC12,,12 - 4 height clearance (136),12.4
3799,131588,37.87044,-82.17798,Low Clearance,Kermit Harvey,WV,25649,LC12,,12 - 8 height clearance (136),12.8
3800,131592,37.837727,-81.96442900000002,Low Clearance,Logan,WV,25601,LC9,,9 - 0 height clearance (136),9.0
