,longitude,latitude,name,location
188,-90.93879,38.81219,Weigh Station,Foristell Missouri
189,-90.93605,38.81259,Weigh Station,Foristell Missouri
190,-88.97832,37.63823,Weigh Station,Carbondale Illinois
191,-88.97918,37.64191,Weigh Station,Carbondale Illinois
192,-88.18417,37.06031,Weigh Station,Gilbersville Kentucky
193,-88.18322,37.06189,Weigh Station,Gilbersville Kentucky
194,-85.43922,33.64487,Weigh Station,Anniston Alabama
195,-95.6281,40.54951,Weigh Station,Watson Missouri
196,-95.62826,40.55141,Weigh Station,Watson Missouri
197,-84.91645,33.08395,Weigh Station,LaGrange Georgia
198,-95.94467,40.6746,Weigh Station,Hwy 2 East && West bound
199,-84.91485,33.08766,Weigh Station,LaGrange Georgia
200,-89.9,38.57484,Weigh Station,OFallon Illinois
201,-103.89832,40.24432,Weigh Station,Fort Morgan Colorado
202,-103.89899,40.24539,Weigh Station,Fort Morgan Colorado
203,-95.79529,40.70726,Weigh Station,Percival Iowa
204,-89.97985,38.70404,Weigh Station,Collinsville Illinois
205,-85.08589,33.69635,Weigh Station,Temple Georgia
206,-105.61086,39.76489,Weigh Station,Dumont Colorado
207,-96.50841,40.92646,Weigh Station,Hwy 6 East &&&&&&&& West bound
208,-96.46052,40.92226,Weigh Station,I-80 Eastbound
209,-96.46029,40.92358,Weigh Station,I-80 Westbound
210,-86.03136,35.43309,Weigh Station,Hillsboro Tennessee
211,-104.82094,40.1937,Weigh Station,Fort Vasquez Colorado
212,-93.96204,40.52163,Weigh Station,Blythedale Missouri
213,-93.96038,40.52271,Weigh Station,Blythedale Missouri
214,-109.30781,37.87306,Weigh Station,Monticello Utah
215,-100.69035,41.09981,Weigh Station,I-80 Westbound
216,-100.69617,41.09978,Weigh Station,I-80 Eastbound
217,-100.70465,41.13359,Weigh Station,Hwy 30 East && West bound
218,-95.92478,41.05161,Weigh Station,Hwy 75 North && South bound
219,-96.60159,41.2339,Weigh Station,Hwy 77 && 92 all Directions
220,-84.6303,33.77272,Weigh Station,Lithin Springs Georgia
221,-86.58181,36.60915,Weigh Station,Hendersonville Tennessee
222,-86.58006,36.60986,Weigh Station,Hendersonville Tennessee
223,-86.5369,36.68639,Weigh Station,Franklin Kentucky
224,-85.05279,34.8809,Weigh Station,Dalton Georgia
225,-85.04834,34.87938,Weigh Station,Dalton Georgia
226,-105.00041,40.55659,Weigh Station,Fort Collins Colorado
227,-105.00124,40.55656,Weigh Station,Fort Collins Colorado
228,-88.06276,38.16061,Weigh Station,Crossville Indiana
229,-89.64373,39.22704,Weigh Station,Litchfield Illinois
230,-83.36566,30.91807,Weigh Station,Valdosta Georgia
231,-83.36441,30.918,Weigh Station,Valdosta Georgia
232,-83.27259,30.37338,Weigh Station,Madison Florida
233,-83.2725,30.37343,Weigh Station,Tallahassee Florida
234,-83.27231,30.37462,Weigh Station,Madison Florida
235,-83.97361,33.06914,Weigh Station,Forsyth Georgia
236,-83.97336,33.07038,Weigh Station,Forsyth Georgia
237,-84.75615,34.73443,Weigh Station,Chatsworth Georgia
238,-88.93675,38.98783,Weigh Station,Brownstown Illinois
239,-83.15401,30.34884,Weigh Station,Live Oak Florida
240,-83.15352,30.34964,Weigh Station,Live Oak Florida
241,-95.91848,41.51861,Weigh Station,Missouri Valley Iowa
242,-103.70401,41.2091,Weigh Station,I-80 Eastbound
243,-111.49875,36.95132,Weigh Station,Page Arizona
244,-82.92893,29.59102,Weigh Station,Fanning Springs Florida
245,-108.81967,39.17808,Weigh Station,Loma Colorado
246,-108.82511,39.18099,Weigh Station,Loma Colorado
247,-82.90287,30.42148,Weigh Station,Lake City Florida
248,-82.8985,30.418,Weigh Station,Lake City Florida
249,-82.87043,30.38209,Weigh Station,Lake City Florida
250,-104.85369,41.08181,Weigh Station,Cheyenne Wyoming
251,-82.86968,30.38272,Weigh Station,Lake City Florida
252,-104.63321,41.15914,Weigh Station,Cheyenne Wyoming
253,-114.36519,32.65968,Weigh Station,Yuma Arizona
254,-93.91539,41.55468,Weigh Station,Des Moines Iowa
255,-89.57267,39.92983,Weigh Station,Knollwood Illinois
256,-114.61046,32.70976,Weigh Station,Yuma Arizona
257,-114.61242,32.71345,Weigh Station,Yuma Arizona
258,-114.78229,32.4849,Weigh Station,San Luis Arizona
259,-98.45511,42.33473,Weigh Station,Hwy 20/275 All Directions
260,-114.74154,32.74656,Weigh Station,Winterhaven California
261,-114.7416,32.74738,Weigh Station,Winterhaven California
262,-105.59127,41.28331,Weigh Station,Laramie Wyoming
263,-93.33443,41.68242,Weigh Station,Mitchellville Iowa
264,-114.47025,33.61324,Weigh Station,Ehrenburg Arizona
265,-114.47086,33.61416,Weigh Station,Ehrenburg Arizona
266,-96.28362,42.28891,Weigh Station,Salix Iowa
267,-96.28794,42.29019,Weigh Station,Salix Iowa
268,-114.53584,33.60621,Weigh Station,Blythe California
269,-114.29453,34.15594,Weigh Station,Parker Arizona
270,-85.85687,37.65359,Weigh Station,Elizabethtown Kentucky
271,-85.85532,37.65298,Weigh Station,Elizabethtown Kentucky
272,-82.14392,28.99295,Weigh Station,Ocala Florida
273,-82.16516,28.02675,Weigh Station,Plant City Florida
274,-82.16506,28.02743,Weigh Station,Plant City Florida
275,-82.14283,28.99341,Weigh Station,Ocala Florida
276,-112.52726,36.95997,Weigh Station,Fredonia Arizona
277,-97.09296,42.46671,Weigh Station,Hwy 15 && 20 All directions
278,-82.1139,27.93763,Weigh Station,Brandon Florida
279,-93.57106,41.91978,Weigh Station,Ames Iowa
280,-93.56934,41.92288,Weigh Station,Ames Iowa
281,-112.53966,37.08532,Weigh Station,Kanab Utah
282,-84.19906,35.89324,Weigh Station,Knoxville Tennessee
283,-84.19567,35.89309,Weigh Station,Knoxville Tennessee
284,-82.04868,28.02876,Weigh Station,Plant City Florida
285,-114.74106,33.60965,Weigh Station,Blythe California
286,-96.50055,42.54117,Weigh Station,I-29 North bound
287,-87.61861,39.42587,Weigh Station,Livingston Illinois
288,-83.17907,34.41516,Weigh Station,Lavonia Georgia
289,-104.21553,42.07741,Weigh Station,Torrington Wyoming
290,-83.15641,34.42686,Weigh Station,Lavonia Georgia
291,-87.52823,39.43667,Weigh Station,Terre Haute Indiana
292,-114.12321,35.2196,Weigh Station,Kingman Arizona
293,-96.62975,42.64644,Weigh Station,I-29 North bound
294,-81.98572,26.87908,Weigh Station,Fort Meyers Florida
295,-81.98489,26.87983,Weigh Station,Fort Meyers Florida
296,-114.42058,34.72338,Weigh Station,Topock Arizona
297,-114.42072,34.72438,Weigh Station,Topock Arizona
298,-95.15083,42.47838,Weigh Station,Early Iowa
299,-81.95434,30.74338,Weigh Station,Hilliard Florida
300,-89.10743,40.55746,Weigh Station,Carlock Illinois
301,-89.10312,40.55582,Weigh Station,Carlock Illinois
302,-115.38507,32.68079,Weigh Station,Calexco California
303,-114.56543,34.75261,Weigh Station,Topcock California
304,-114.56586,34.75199,Weigh Station,Topcock California
305,-82.87361,34.51662,Weigh Station,Anderson South Carolina
306,-81.58647,29.62379,Weigh Station,San Mateo Florida
307,-81.66798,30.66851,Weigh Station,Kingsland Florida
308,-81.66706,30.66961,Weigh Station,Kingsland Florida
309,-81.66213,30.69942,Weigh Station,Kingsland Florida
310,-81.6638,30.72728,Weigh Station,Kingsland Florida
311,-81.66316,30.72603,Weigh Station,Kingsland Florida
312,-90.46949,41.45365,Weigh Station,Rock Island ILLinois
313,-90.43317,41.45444,Weigh Station,Rock Island ILLinois
314,-97.39984,43.08218,Weigh Station,Hwy 46/81
315,-82.23715,33.48713,Weigh Station,Martinez Georgia
316,-82.23282,33.48778,Weigh Station,Martinez Georgia
317,-90.34247,41.55611,Weigh Station,Moline Illinois
318,-90.34253,41.55926,Weigh Station,Moline Illinois
319,-85.15495,38.1707,Weigh Station,Frankfort Kentucky
320,-113.61345,37.01304,Weigh Station,St George Utah
321,-113.61675,37.01231,Weigh Station,St George Utah
322,-84.09657,37.04234,Weigh Station,London Kentucky
323,-84.09957,37.0472,Weigh Station,London Kentucky
324,-81.26873,29.55981,Weigh Station,Bunnell Florida
325,-110.86798,39.71795,Weigh Station,Helper Utah
326,-81.44839,31.47816,Weigh Station,Darien Georgia
327,-81.44671,31.47735,Weigh Station,Darien Georgia
328,-81.19737,29.50993,Weigh Station,Bunnell Florida
329,-81.19682,29.5117,Weigh Station,Bunnell Florida
330,-100.0207,43.38596,Weigh Station,Hwy 18/183
331,-104.45253,42.75545,Weigh Station,Lusk Wyoming
332,-85.21224,38.54434,Weigh Station,Campbellsburg Kentucky
333,-85.21102,38.54377,Weigh Station,Campbellsburg Kentucky
334,-81.44404,32.16975,Weigh Station,Pooler Georgia
335,-81.44315,32.16757,Weigh Station,Pooler Georgia
336,-82.70123,35.55437,Weigh Station,Hominy North Carolina
337,-82.6969,35.55428,Weigh Station,Hominy North Carolina
338,-83.07095,36.21409,Weigh Station,Morristown Tennessee
339,-82.48053,35.37819,Weigh Station,Mountain Home North Carolina
340,-82.48014,35.37892,Weigh Station,Mountain Home North Carolina
341,-84.55807,38.29388,Weigh Station,Lexington Kentucky
342,-81.17229,32.21938,Weigh Station,Savannah Georgia
343,-98.04574,43.69624,Weigh Station,Bus I-90
344,-96.46151,43.60947,Weigh Station,I-90 West bound
345,-81.48948,33.77926,Weigh Station,Columbia South Carolina
346,-114.91864,36.33615,Weigh Station,Las Vegas Nevada
347,-115.19481,35.92679,Weigh Station,Las Vegas Nevada
348,-95.54589,43.63709,Weigh Station,Worthington Minnesota
349,-89.08153,41.75988,Weigh Station,DeKalb Illinois
350,-90.61943,42.52167,Weigh Station,East Dubuque Illinois
351,-84.60192,38.81914,Weigh Station,Crittenden Kentucky
352,-84.64792,38.86478,Weigh Station,Walton Kentucky
353,-81.47641,34.24535,Weigh Station,Newberry South Carolina
354,-93.35088,43.40316,Weigh Station,SilverLake Iowa
355,-93.34835,43.40322,Weigh Station,Silverlake Iowa
356,-81.26888,33.93919,Weigh Station,Columbia South Carolina
357,-87.803,41.36134,Weigh Station,Peotone Illinois
358,-87.79992,41.36575,Weigh Station,Peotone Illinois
359,-81.28387,34.16393,Weigh Station,Chapin South Carolina
360,-80.57812,26.14588,Weigh Station,Pembroke Pines Florida
361,-80.57283,26.14677,Weigh Station,Pembroke Pines Florida
362,-111.38101,40.46239,Weigh Station,Heber City Utah
363,-84.83118,39.27969,Weigh Station,West Harrison Indiana
364,-84.78439,39.24805,Weigh Station,Harrison Ohio
365,-87.90158,41.55165,Weigh Station,Orland Park Illinois
366,-88.09368,41.67231,Weigh Station,Bolingbrook Illinois
367,-88.09029,41.67244,Weigh Station,Bolingbrook Illinois
368,-87.82002,41.55118,Weigh Station,Tinley Park Illinois
369,-87.30173,41.30463,Weigh Station,Crown Point Indiana
370,-87.55461,41.50703,Weigh Station,Lynwood Illinois
371,-116.83779,33.93026,Weigh Station,Banning California
372,-103.19276,44.03757,Weigh Station,Hwy 79
373,-83.3483,38.27662,Weigh Station,Upper Tygart Kentucky
374,-84.94524,39.86495,Weigh Station,Richmond Indiana
375,-98.49939,44.45917,Weigh Station,Hwy 281 && 14 All Directions
376,-117.13543,33.44722,Weigh Station,Rainbow California
377,-117.14823,33.42988,Weigh Station,Rainbow California
378,-80.48766,33.26916,Weigh Station,Harleyville South Carolina
379,-80.47606,33.26031,Weigh Station,Harleyville South Carolina
380,-84.80212,39.82809,Weigh Station,New Paris Indiana
381,-111.24621,41.08107,Weigh Station,Coalville Utah
382,-111.40291,40.98972,Weigh Station,Coalville Utah
383,-100.06779,44.50254,Weigh Station,Hwy 34/14/83
384,-111.03938,41.24583,Weigh Station,Estavan Wyoming
385,-80.96986,35.01576,Weigh Station,Rock Hill South Carolina
386,-88.60293,42.45382,Weigh Station,Harvard Illinois
387,-116.79268,34.9139,Weigh Station,Barstow California
388,-80.94149,35.07966,Weigh Station,Forest Lake South Carolina
389,-86.99713,41.64058,Weigh Station,Chesterton Indiana
390,-86.99805,41.64141,Weigh Station,Chesterton Indiana
391,-81.00702,35.25758,Weigh Station,Belmont North Carolina
392,-81.00717,35.25866,Weigh Station,Belmont North Carolina
393,-103.43744,44.31818,Weigh Station,Rapid City South Dakota
394,-110.57679,41.79179,Weigh Station,Kemmerer Wyoming
395,-117.52408,33.3522,Weigh Station,Asra California
396,-117.5248,33.35146,Weigh Station,Asra California
397,-89.47414,43.01167,Weigh Station,Fitchburg Wisconsin
398,-88.3087,42.49174,Weigh Station,Richmond Illinois
399,-85.40829,40.74589,Weigh Station,Markle Indiana
400,-85.4086,40.74693,Weigh Station,Markle Indiana
401,-83.8764,39.50782,Weigh Station,Mason Ohio
402,-81.02094,35.76395,Weigh Station,Statesville North Carolina
403,-81.01205,35.7679,Weigh Station,Statesville North Carolina
404,-89.22461,43.00818,Weigh Station,McFarland Wisconsin
405,-83.79551,39.53366,Weigh Station,Mason Ohio
406,-86.71835,41.78466,Weigh Station,New Buffalo Michigan
407,-86.71826,41.7868,Weigh Station,New Buffalo Michigan
408,-117.46656,34.30585,Weigh Station,Cosy Dell California
409,-117.46738,34.30526,Weigh Station,Cosy Dell California
410,-104.34231,44.41329,Weigh Station,Sundance Wyoming
411,-91.71471,44.06461,Weigh Station,Goodview Minnesota
412,-105.47087,44.28933,Weigh Station,Gillette Wyoming
413,-101.57103,45.05289,Weigh Station,Dupree South Dakota
414,-112.05619,41.43964,Weigh Station,Willard Utah
415,-112.05755,41.44016,Weigh Station,Perry Utah
416,-84.69103,40.92843,Weigh Station,Convoy Ohio
417,-90.39481,43.96966,Weigh Station,Oakdale Wisconsin
418,-81.12723,37.0858,Weigh Station,Bland Virginia
419,-81.12578,37.08583,Weigh Station,Bland Virginia
420,-96.51116,45.26998,Weigh Station,Millbank South Dakota
421,-80.7481,36.52533,Weigh Station,Toast North Carolina
422,-80.74835,36.52957,Weigh Station,Toast North Carolina
423,-81.95715,38.45832,Weigh Station,Mt Vernon West Virginia
424,-81.95449,38.45712,Weigh Station,Mt Vernon West Virginia
425,-92.78933,44.95809,Weigh Station,Lakeland Minnesota
426,-92.61041,44.95997,Weigh Station,Roberts Wisconsin
427,-89.53471,44.07766,Weigh Station,Coloma Wisconsin
428,-113.99065,40.7447,Weigh Station,Wendover Utah
429,-113.98976,40.74554,Weigh Station,Wendover Utah
430,-93.50317,45.24698,Weigh Station,Ramsey Minnesota
431,-96.96475,45.70128,Weigh Station,I-29 South bound
432,-91.79912,44.90486,Weigh Station,Menominee Wisconsin
433,-118.23614,35.11327,Weigh Station,Mojave California
434,-93.02955,45.2316,Weigh Station,Centerville Minnesota
435,-93.02724,45.23398,Weigh Station,Centerville Minnesota
436,-84.98993,41.87742,Weigh Station,Coldwater Michigan
437,-82.92798,40.25151,Weigh Station,Westerville Ohio
438,-118.59292,34.43583,Weigh Station,Santa Clarita California
439,-87.94041,43.66689,Weigh Station,Waldo Wisconsin
440,-98.52835,45.93383,Weigh Station,South Dakota
441,-103.54522,45.55869,Weigh Station,Hwy 85 and Hwy 20 all directions
442,-83.66059,41.10228,Weigh Station,Findlay Ohio
443,-98.52635,46.01407,Weigh Station,Ellendale North Dakota
444,-111.02409,43.17938,Weigh Station,Alpine Wyoming
445,-78.99872,34.7067,Weigh Station,Lumberton North Carolina
446,-78.99723,34.70623,Weigh Station,Lumberton North Carolina
447,-107.00655,44.88499,Weigh Station,Sheridan Wyoming
448,-107.00489,44.88562,Weigh Station,Sheridan Wyoming
449,-81.53708,39.17164,Weigh Station,Parkersburg West Virginia
450,-81.53777,39.17316,Weigh Station,Parkersburg West Virginia
451,-102.17601,45.93428,Weigh Station,Lemmon South Dakota
452,-118.57641,35.23581,Weigh Station,Keene California
453,-118.95638,34.20037,Weigh Station,Thousand Oaks California
454,-118.95716,34.19859,Weigh Station,Thousand Oaks California
455,-83.63455,41.29041,Weigh Station,Bowling Green Ohio
456,-105.39632,45.4218,Weigh Station,Broadus Montana
457,-87.73622,43.9712,Weigh Station,Clevland Wisconsin
458,-79.92547,37.35923,Weigh Station,Cloverdale Virginia
459,-112.29006,42.79972,Weigh Station,Pocatello Idaho
460,-112.29019,42.80073,Weigh Station,Pocatello Idaho
461,-118.938,34.96068,Weigh Station,Lebec California
462,-79.9175,37.36972,Weigh Station,Cloverdale Virinia
463,-79.91771,37.37132,Weigh Station,Cloverdale Virginia
464,-79.20733,36.07677,Weigh Station,Mebane North Carolina
