Unnamed: 0,cat,city,comments,elev,height,latitude,longitude,name,st,uid,zip
119.0,LC14,Phoenix,14 - 0 height clearance,,14.0,33.444137,-112.073771,Low Clearance,AZ,102271.0,85034
120.0,LC15,Phoenix,15 - 1 height clearance,,15.1,33.445077000000005,-112.074904,Low Clearance,AZ,102272.0,85034
121.0,LC14,Phoenix,"14 - 9 height clearance on west side, 15-1 on east side",,14.9,33.58193,-112.11689799999999,Low Clearance,AZ,102273.0,85029
122.0,LC13,Prescott,13 - 6 height clearance,,13.6,34.92838,-112.81603,Low Clearance,AZ,102334.0,86305
123.0,LC12,Roosevelt,12 - 2 height clearance (136),,12.0,33.619347999999995,-110.92183700000001,Low Clearance,AZ,102362.0,85545
124.0,LC13,Sedona,13 - 1 height clearance (136),,13.1,34.764196999999996,-111.656651,Low Clearance,AZ,102394.0,86351
125.0,LC11,Show Low,11 - 2 height clearance (136),,11.2,34.311771,-110.24871599999999,Low Clearance,AZ,102402.0,85901
126.0,LC13,Superior,13 - 6 height clearance,,13.6,33.304629999999996,-111.08261999999999,Low Clearance,AZ,102417.0,85173
127.0,LC15,Tempe,15 - 6 height clearance,,15.6,33.410998,-111.909154,Low Clearance,AZ,102426.0,85281
128.0,LC15,Tempe,15 - 2 height clearance,,15.2,33.411024,-111.93983999999999,Low Clearance,AZ,102427.0,85281
129.0,LC15,Tucson,15 - 1 height clearance,,15.1,32.10654,-110.99315,Low Clearance,AZ,102464.0,85746
130.0,LC13,Tucson,13 - 6 height clearance,,13.6,32.206783,-110.97960800000001,Low Clearance,AZ,102465.0,85746
131.0,LC10,Tucson,10 - 10 height clearance (136),,10.1,32.225235999999995,-110.96866399999999,Low Clearance,AZ,102466.0,85746
132.0,LC13,Tucson,13 - 6 height clearance,,13.6,32.22707,-110.9717,Low Clearance,AZ,102467.0,85746
133.0,LC13,Tucson,13 - 10 height clearance,,13.1,32.235827,-110.98155,Low Clearance,AZ,102468.0,85746
134.0,LC14,Tucson,14 - 0 height clearance,,14.0,32.25026,-110.99168999999999,Low Clearance,AZ,102469.0,85746
135.0,LC14,Winslow,14 - 0 height clearance,,14.0,34.97582,-110.5255,Low Clearance,AZ,102534.0,86047
136.0,LC14,Agoura Hills,14 - 0 height clearance,,14.0,34.105489,-118.80948000000001,Low Clearance,CA,103622.0,91301
137.0,LC11,Anderson,11 - 6 height clearance (136),,11.6,40.4406,-122.29964,Low Clearance,CA,103644.0,96007
138.0,LC13,Atascadero,13 - 2 height clearance (136),,13.2,35.50098,-120.66242,Low Clearance,CA,103665.0,93422
